name=郑码
key=abcdefghijklmnopqrstuvwxyz
len=4
match=0
wildcard=?
assist=] mb/pinyin.txt
dmpk 插销
dmpl 托盘
dmpm 据我所知
dmpq 拖船
dmq 擶
dmqk 擶
dmr 攒
dmrg 抛物面
dmrl 攒 攢
dmro 拖欠 摥
dmrz 抛物线
dmsj 才识
dmsm 拖放 握手言和
dmss 报复主义
dmsv 报告文学
dmtg 插头
dmto 插座
dmty 按制度办事
dmu 揪
dmum 热乎乎
dmuo 揪
dmus 抗氧剂
dmvk 的黎波里
dmvv 才
dmvw 才学
dmw 抸
dmwa 托福
dmwb 托运
dmwc 报复心理
dmwz 揪心
dmx 擳
dmxy 擳
dmy 拖
dmyd 扢
dmyf 抽气机
dmyi 拖
dmyk 排气量
dmym 拖延 排气管
dmyo 插队
dmyw 搥 逰
dmz 捼
dmzm 捼 托收
dmzn 鼒
dmzo 执委会
dmzq 才能
dmzu 热敏性
dmzy 挴
dn 推
dnae 推开
dnan 擤
dnb 揑
dnbi 揑
dnbm 操作规程
dnby 热传导
dnbz 推动
dnc 揘
dnca 投身于
dnck 推理
dncw 热身赛
dnda 拍打
dndc 拍摄
dndf 搜捕
dndm 推托
dnds 折射率 拊
dne 捭
dned 捭
dneg 推荐
dnes 据估计
dnew 携带 搜索
dnex 拍卖
dnfa 推杆
dnfk 搜查
dnfl 推想
dnfp 拍板
dnfu 报仇雪恨
dnfv 才华横溢
dnfw 抓住机遇
dng 搝
dngs 搝
dngz 挺身而出
dnhk 推到
dni 推
dnil 择优上岗
dniy 擕
dnjj 换向器
dnjo 担保人
dnk 拍
dnky 拍照
dnlw 推崇
dnma 推卸
dnmb 推倒重来 拰
dnmd 携手 拍手
dnmj 操作员
dnmk 搜刮
dnml 推算
dnmr 推移
dnms 推辞
dnmu 拟作为
dnmz 操作系统
dnnf 搜集
dnnh 推倒
dnnj 推向
dnnl 挪作他用
dnnp 提供优质服务
dnnx 拍片
dnoa 推拿
dnob 攑
dnoi 推行
dnol 攪
dnon 推介
dnp 擙
dnpg 擙
dnpk 推销 推翻
dnqp 搜狐
dnqu 推脱
dnr 掜
dnrd 掜
dnrf 摄像机
dnrt 摄像头
dnru 提货单
dnrw 摠
dnsj 推敲 换代产品
dnsm 推诿 撽
dnsn 提供方便
dnso 推论
dntg 推广
dnud 提供情报
dnug 擙
dnuo 撨
dnva 推举
dnvl 推测
dnwb 推进
dnwl 择优选用
dnwm 推选
dnww 报价适宜
dnwx 推迟
dnx 扸
dnxd 搜寻
dnxl 择优录用
dnxr 扎伊尔
dnxs 搜
dny 携
dnyd 推导
dnym 携 推力
dnzo 才华出众
dnzu 推断
dnzz 推出
do 执行
doa 拾
doae 扒开
doaj 拾
doal 掄
doar 拉合尔
doay 拾万
dob 捡
dobo 招待会
dobp 招待所
dobs 按人均计算
dobv 捡
dobw 接待室
doby 拾起
dobz 抢劫
doc 拴
docl 掩人耳目
docr 求全责备
dod 扖
doda 扖
dodp 挫折
dodv 抢救
dofl 扮相
dofo 拾零
dofq 摋
dogd 抢夺
doif 排行榜
doij 抢占
doiw 执行官
doj 揜
doje 揜
dojo 救命恩人
dojr 挩
dojy 掵
dok 攕
doka 攕
dolm 挫败
dolr 抢购
dolz 擒
domd 扒手 抢手
domf 捈
domi 捨
domj 抢种 执行委员会
domr 抢先
doms 投入生产
domy 损人利己
domz 指令系统
don 扴
dond 扴
doni 抢修
donl 投入使用
donm 挫伤
donn 折余价值
donr 执行任务
dony 拾亿
donz 据介绍
doo 挫
dooa 擒拿
doob 挫
dooi 摐
doom 接人待物
dooo 撿
dop 抮
dopd 抮
doq 揄
doqk 揄
doqm 损公肥私
dor 抡
dorr 抡
dos 擒
dosk 摿
dosn 指令文件
dosr 搇
dost 执行主席
dosx 扲
dosz 投入产出
dot 扵
dotd 扵
dous 指令性文件 指令性计划
dout 执行情况
dov 扒
dovv 扒
dovw 扮演
dovx 抢滩
dow 拎
dowb 抢运
dowh 扒窃
dowu 指令性
dowy 扣人心弦
dox 搶
doxj 搶
doxw 捻
doy 抢
doyd 扮
doyf 据分析
doyo 抢险
doyy 抢
dozm 抢收
dozu 抢断
dozw 捴
dp 拆
dpa 援
dpae 拆开
dpar 誓死
dpau 按钮开关
dpb 埑
dpbb 拆封
dpbo 拆走
dpby 掀起
dpbz 搬动
dpd 折
dpda 拞
dpdf 抓捕
dpdj 折扣
dpdl 摇摆
dpdp 摇摇
dpds 捋
dpdt 损兵折将
dpdv 援救
dpdy 播报
dpe 揗
dpel 揗
dpeq 抓获 拆散
dpez 摇 揺
dpf 梊 採
dpfx 授权
dpg 硩
dpgb 按兵不动
dpgk 拾金不昧
dpgx 援
dpi 蜇
dpih 搋
dpik 折旧
dpir 擨
dpj 哲
dpji 踅
dpjl 授勋
dpjv 折中
dpk 播 晢
dpka 誓师
dpki 播
dpkk 摇晃
dpkl 播映
dpks 推销商
dpkx 抓紧
dpkz 摇曳
dpl 捳
dpll 捳
dply 援助
dpm 摇
dpma 拆卸
dpmj 播种
dpmk 摇篮
dpml 折算
dpmo 掷铁饼
dpnb 拆毁 搯
dpnd 折射
dpne 拆借
dpnm 抓伤
dpns 抓住
dpo 捠
dpoa 折合
dpod 搬入
dpop 授衔
dpoy 拆分
dpp 銴
dpq 搬
dpqc 推铅球
dpqu 折腾
dpqx 搬
dpqy 折服
dpr 掀
dprh 挀
dpri 援外
dpro 掀 揿 撳
dprt 摇匀
dps 誓 拆
dpsa 誓言
dpsb 播讲
dpsi 折让
dpsk 授意 授课 播音
dpsm 播放
dpsn 按质论价
dpsr 裚
dpsy 誓词
dptf 折磨
dptg 摇头
dptr 折资 授奖 摇奖 抓阄
dpu 烲
dpuc 授精
dpuo 授粉 烲 焎
dpv 抓
dpvd 摸爬滚打
dpvs 摇滚
dpvv 捦
dpvw 哲学
dpw 授 逝
dpwb 搬运
dpwc 掷链球
dpwg 搬家
dpwm 拆迁
dpwu 播送
dpwx 授
dpwz 悊
dpx 扳
dpxb 掙
dpxh 按钮式
dpxo 才貌双全
dpxp 鋬
dpxs 扳
dpxx 授予 折叠
dpy 捊
dpya 捊
dpyd 乴
dpyh 按键式
dpyi 援引
dpyo 拆除
dpyu 撝
dpyx 拆建 援建
dpyy 排斥异己
dpzb 挥金如土
dpzj 拆台
dpzm 挼 娎
dpzu 折断
dpzv 播发
dpzy 抓好
dpzz 播出
dq 热
dqai 执政
dqar 热烈
dqb 垫
dqbf 搁脚板
dqbq 热膨胀
dqby 执教
dqbz 抛却
dqcc 挡风玻璃
dqcd 抛球
dqdj 执事
dqdk 捕风捉影
dqdt 挑肥拣瘦
dqdu 投掷 抛掷
dqdz 执拗
dqeb 执著
dqej 执勤
dqes 抛荒
dqew 热带
dqex 热卖
dqf 挆
dqfb 投标 投票
dqfq 投机
dqge 投奔
dqgm 捧腹大笑
dqgv 抛在
dqgx 执友
dqhj 捶胸顿足
dqhy 热切
dqhz 热轧
dqi 蛰
dqij 热点
dqjb 摆脱困境
dqju 垫圈
dqka 热量
dqkg 抛光
dqks 投影
dqku 执业
dqkv 热水
dqkw 执掌
dqky 执照
dql 贽
dqlo 贽
dqm 挚
dqmd 挚
dqmj 投靠
dqmk 投篮
dqml 热血
dqmm 执笔 投敌
dqms 投稿
dqmy 热气
dqmz 热敏
dqnc 投身
dqnd 垫付 投射 抛射
dqnj 投向 抛售 投保 控股集团
dqnx 垫片
dqoa 投合
dqod 投入
dqoi 执行
dqow 执领
dqpe 抛锚
dqpk 热销
dqpl 抛盘
dqpw 热爱
dqpy 热键
dqq 掤
dqqo 热风
dqr 鸷
dqrz 鸷
dqs 执
dqsb 垫
dqsh 热诚
dqsi 蛰
dqsj 热衷
dqsk 执意
dqsl 贽
dqsm 投产 投放 挚
dqsp 投诉
dqsr 鸷
dqsu 热
dqsy 势
dqsz 抛弃 絷
dqtg 势头
dqtl 热门
dqtr 投资
dqts 热闹
dqu 热
dquc 热情
dqul 执着
dquo 热
dquw 热忱
dqvb 执法
dqve 热潮
dqvg 热源
dqvl 热泪
dqvs 投注 热浪
dqvv 抈
dqwg 投寄
dqwm 势必
dqwu 投递
dqwz 热心 投案
dqx 投
dqy 抛 扏
dqya 执 垫子
dqyd 执导
dqym 势力 热力 势 抛
dqyn 抛费
dqyr 投降
dqz 絷
dqza 拉脱维亚
dqzh 热线
dqzq 热能 势能
dqzz 抛出
dr 事务
draf 打印机
drai 指正
drat 打印头
drbk 指示 批示 摖
drby 指教 抱起
drcg 指环
drci 捀
drcl 指责
drcu 换班 挽联
drcw 摓
drcx 换取
drdb 搀扶
drdf 拘捕 批捕
drdj 抵扣
drdk 抵挡 抵押
drdp 托儿所
drds 抵抗
drdv 挽救
drdw 指挥 指控
drdz 挣扎
drel 指南
drev 托尔斯港
drez 掏 搖 换药
drfb 指标
drff 拘禁
drfj 拘束 抵赖
drgq 抑郁
drh 扺
drhb 批转
drhj 抑或
drhv 换成
dric 热处理
drij 指点
drik 揝
drj 拘 挌
drjj 挽回
drjr 挽
drk 指 撸 捪 擼
drka 批量
drkd 据外电报道
drki 指甲
drkq 指明
drkz 抽象思维
drl 换
drlc 抵账
drld 捔
drlg 换 換
drlj 接触器
drll 捣 搗
drlw 指骨
drm 掏
drmf 搩
drmj 指靠 搀和
drmk 批复
drml 抵制 抑制 换算
drmr 指称
drms 扎鲁特旗
drmt 换乘
drmy 换季 换气
drmz 捣乱
drn 掐
drna 指使
drnb 掐 捣毁
drnc 抵债
drnh 换代
drnj 指向 换向 捣鬼
drnk 抵偿
drnm 批件
drns 换位 抱住
drnx 搀假
dro 扻
drom 抵御
dros 擔
drow 指令
drpe 指针
drph 挣钱
drps 指斥
drq 拠
drqd 拠
drr 批
drra 指印
drrf 批条
drrj 指名
drrl 抵触 抱负
drrn 按比例 揩
drrr 批
drrs 挽留 拘留 攙 拸
drrt 搀
drry 抱怨
drrz 搊
drs 抵 扚 揈
drsa 批评 指证
drsb 批语
drse 拘谨
drso 批文 换文 指认
drsq 指望
drss 换句话说
drsu 撚
drsw 揔
drt 搀
drtb 换装
drtd 抣
drtg 指头
drtn 批准
drtu 批阅
dru 掬
druf 掬
druk 批判
drul 抱着
druv 指为
drux 抱歉
druz 指数 抵触情绪
drvb 指法
drvh 换汇
drvj 扶危济困
drvk 抵消
drvm 换洗
drvp 指派
drvs 批注
drwd 指定
drwg 抵达
drws 换房
drwz 指名道姓
drx 挣
drxb 挣
drxg 持乐观态度
drxi 捣蛋 擬
drxk 换届
drxo 批驳
dry 抱 抑
dryd 指导
dryi 指引
drym 批改
dryp 事务所
drys 换防
dryx 事务局
drz 摀
drza 摀
drzs 指纹 抅
drzv 批发
drzz 指出 掏出
ds 寸
dsae 拉开
dsai 拉丁
dsam 技高一筹
dsan 批评与自我批评
dsaw 换言之
dsbk 撞塌
dsbn 提高工作效率
dsbo 接替 撤走
dsbv 接地
dsbz 拉动 撞击 抗击
dsc 拄
dscd 接球 撞球
dsch 擅长 拉长
dscj 撤职
dscu 接班
dscw 擅离职守
dscx 摘取
dsda 批评指正
dsdf 提高技术
dsdg 拉拢
dsdh 抗拒
dsdi 拉扯 摔掉
dsdk 摘抄
dsdm 接插
dsdr 撤换 拐弯抹角
dseb 提高劳动生产率
dseh 按计划
dser 攘
dseu 提高警惕
dsey 拉萨
dsfa 拉杆 拉柄
dsfg 抗震
dsfn 探亲假
dsfv 摘要
dsgb 挤压
dsgd 掠夺
dsgi 执意不肯
dsgk 措词不当
dsgn 撞礁
dsgv 挤在
dsgx 摔破
dsgy 措施不力
dsha 提高到一个新的水平
dshe 撞车
dshk 接到
dshq 接轨
dsi 攏
dsid 抃
dsij 抗战
dsik 寸步
dsj 掊
dsja 热衷于 接口
dsjh 提高到
dsjj 撤回 摇旗呐喊
dsjk 掠
dsjl 搞
dsjs 摔跤
dsk 揞
dska 抗旱 提高水平 擅
dskb 撞
dskd 刌
dskf 扩音机
dskj 播音员
dskl 提意见
dskr 摬
dsl 摘
dsla 拉幅
dslf 据调查
dslr 接见
dslw 擿
dslz 摛
dsmd 接手
dsmj 接种 播放器
dsmk 排放量
dsmm 搞笑 抗敌 摌
dsms 提高生产率
dsmw 接管
dsmy 揓
dsn 挤
dsnd 挤
dsnf 抗体
dsnh 摔倒 拉倒
dsnj 搞鬼
dsnk 拉伸
dsnl 擅自
dsnm 接任
dsnn 摘牌
dsnr 掖
dsnu 撤伙
dso 抆
dsoa 接合
dsob 接待
dsod 接入 热交换
dsoe 捽
dsok 搞得
dsom 抗御
dsoo 挍
dsor 抗衡
dsos 热效率
dsot 热效应
dsow 打交道
dspe 搞错
dspk 撤销 提高质量
dspn 投诉信
dspo 撤兵 招商银行
dspw 接受
dspx 拉锯
dsq 抗
dsqd 抗
dsqm 撤
dsqo 接风
dsr 挔
dsrh 挔
dsrl 接触
dsrn 擠
dsrx 抗争
dssb 投放市场
dssc 按部就班
dssg 探亲访友
dssi 接站
dssj 提高产品质量
dssk 提高产量
dsso 撤离 擅离
dssp 撤诉
dsss 抗议
dssw 拼音文字
dssx 摘译
dssy 摘记
dsta 抗病
dstg 接头
dstj 抗癌
dstr 撤资
dstv 接应
dsu 拉
dsue 搞糟
dsug 持谨慎态度
dsuj 挤兑
dsul 接着 摘
dsun 提高单位面积产量
dsuz 捐弃前嫌
dsv 摔
dsve 抗洪 抗涝 挤满
dsvk 撤消
dsvm 搞活
dsvo 接洽
dsw 过
dswa 揨
dswd 搞定
dswe 抗寒
dswh 接连 撤军
dswj 报效祖国
dswl 揥
dswm 撁
dswp 接近
dsws 搒
dswu 接送 抗灾
dswx 接通 撤退
dswz 撤案 拼音字母
dsxk 摘录
dsym 拉力 接力 撴
dsyo 撤除
dsz 接
dsze 摔
dszh 接线
dszk 搐
dszl 接纳
dszm 接收 接
dszn 擁 攡
dszq 攍
dszv 提高经济效益
dszw 摘编
dszy 搞好
dszz 撤出
dt 推广
dtbf 投资规模
dtbz 抖动
dtcb 投资环境
dtdu 抖擞
dtdx 摇头摆尾
dtdy 扩招
dte 抖
dted 抖
dteq 扩散
dteu 摭
dtfg 抛头露面
dtfk 攠
dtfm 擵
dtg 扩 擴
dtgd 扩大
dtgn 抗病原体
dtgq 摇头丸
dti 掂
dtij 掂
dtj 攟
dtjm 攟
dtka 掂量
dtkq 摇头晃脑
dtl 扪
dtle 搁置
dtm 攈
dtmf 攈
dtmm 投资气氛
dtn 捬
dtnd 捬
dtnw 抱头鼠窜
dtob 投资领域
dtos 打冷颤
dtoy 投资公司
dtpo 投资银行
dtr 搁
dtra 扩印
dtrb 投资者
dtrj 搁
dtrm 抽奖箱
dtrq 揹
dtrs 掋
dtrw 投资额
dtsk 扩音 热门话题
dtsz 扩充
dttj 抱头痛哭
dttl 推广应用
dttr 搪瓷
dtu 攗
dtuf 攗
dtuw 投资总额
dtux 指鹿为马
dtvh 搁浅
dtwe 搪塞
dtwh 扩军
dtwo 扩容
dtx 摝
dtxe 扩展
dtxj 搪
dtxo 掶
dtyc 扩张
dtys 拒腐防变
dtyx 扩建
dtz 拡
dtzs 拡
du 事情
dub 拌
dubd 拦
dubi 搓
dubk 搄
dubr 揯
dude 抗美援朝
dudf 拼搏
dudk 拦挡
dudr 搂抱
due 拼
duea 热火朝天
duen 拦截
duf 撙
dufd 揂 撙
dug 掷
dugm 拉关系
dugo 拼页 择善而从
dugy 掷 擲
duji 拌嘴
dujj 攚
dujr 拦路 捝
dujw 拉美国家 搃
duk 掸
duke 掸
duku 抗爆性 掽
dul 撯
dulo 拦网
dum 搼
dumd 搼
dump 抚恤金
duns 拦住
duny 抚养费
duoa 拼命
duol 搤
dupu 担惊受怕
duqf 拦腰
duqk 揃
dur 撛
durm 撛
durx 排忧解难
dusk 拼音
dusx 攁
dutc 拼凑
duu 掞
duuo 掞
duvv 热情洋溢
duwa 拼写
duwh 提前完成
duws 扑朔迷离
duwy 撈
dux 亊
duxb 亊
duxk 搛
duy 捲
duyg 据为己有
duyl 拦阻
duyy 捲
duyz 挮
duz 搂
duzm 搂 擞
duzn 抱恨终身
duzq 搠
duzu 热塑性
dv 求
dvba 的士
dvbw 执法官
dvby 挑起 求教
dvbz 搅动
dvcj 求职
dvdp 救援 求援
dvdu 搅拌
dvdv 求救
dvdw 救护
dvdy 抗洪抢险
dvdz 挑拨
dvek 拖泥带水
dvem 排泄物
dvew 求索
dvga 执法不严
dvgd 换汤不换药
dvgr 的确
dvij 挑战
dvjc 救国
dvje 搞活国营大中型企业
dvjn 振兴中华
dvjz 挑唆
dvkm 救星 挱
dvkr 挑剔
dvkv 求是
dvlv 推波助澜
dvly 救助 求助
dvm 救
dvmc 救生 求生
dvmj 求知 求和
dvml 挑衅
dvmw 慦
dvnk 求偶
dvoa 救命
dvod 救人
dvoh 求饶
dvok 求得 搅得
dvpw 求爱
dvr 挑
dvrd 挑
dvs 求
dvsa 求证
dvsj 扼流圈
dvsl 盚
dvsm 救
dvsp 救济金
dvsr 裘 摇滚乐
dvsu 救济粮
dvsw 逑
dvsx 皳
dvsy 救济费
dvuc 求情
dvuf 抽油烟机
dvvm 救活
dvvs 救济
dvvw 求学
dvvz 救治
dvw 搅
dvwa 挑逗 执法必严
dvwl 搅 撹
dvwm 挑选
dvwt 求实
dvwu 救灾
dvxf 挡泥板
dvyl 热泪盈眶
dvzf 挥汗如雨
dvzj 挑台
dvzr 求婚
dvzv 搞活经济
dvzz 救出 挑出
dw 按
dwa 拧
dwai 拧
dwan 摍
dwb 控
dwba 护士
dwbb 热运动
dwbi 控
dwbj 推进器
dwbk 揎
dwbo 打家劫舍
dwbr 捖
dwbu 撻
dwbw 事过境迁
dwbx 护坡
dwbz 挥动
dwc 搳
dwcj 搳
dwck 护理
dwd 掟
dwda 热定型
dwdg 按捺
dwdh 擦拭
dwdk 按揭
dwds 挝
dwdw 挨家挨户
dwdx 挖掘
dwee 挖苦
dwef 事实真相
dweq 按期
dwer 事实真象
dwes 拉祜族
dwew 探索
dwff 护林
dwfk 探查 揮 摙
dwfn 挥霍
dwfu 护栏
dwg 捩
dwgb 势必牵动
dwgd 挞
dwgo 求之不得
dwgs 捩 揬
dwgt 探矿
dwgu 执迷不悟
dwgz 接连不断
dwh 挥
dwhe 挥
dwhm 探戈
dwiz 据初步统计
dwj 撺
dwji 撺
dwjp 探听
dwjq 提心吊胆
dwjr 探路 护路
dwjz 拍案叫绝
dwkd 按时
dwkl 擯
dwkq 探明
dwky 按照 护照
dwl 揙
dwla 擰
dwld 揙
dwlj 撾
dwlo 擦网
dwlq 推心置腹 捉襟见肘
dwlw 攇
dwm 护
dwma 护短
dwmd 挥手
dwme 挥舞
dwmh 挓
dwmi 搾
dwmj 控告
dwml 控制
dwmt 救灾物资
dwmw 控管 探秘
dwmy 搥
dwn 搉
dwni 搉
dwnm 擦伤
dwns 事必躬亲
dwnu 投案自首
dwnx 拥军优属
dwnz 攛
dwo 探
dwof 探
dwoj 搈 攓
dwok 热容量
dwor 摉
dwp 摈
dwpe 探针
dwpl 控盘
dwpo 摈
dwpp 攨
dwps 搲
dwpx 按钮
dwpy 按键
dwq 掮
dwqb 护肤
dwqd 抭
dwqq 控股
dwqv 按月
dwr 擦
dwrb 擦
dwrc 摓
dwrd 抌
dwri 扩军备战
dwrj 揢
dwrr 拕
dwry 捥
dwsb 按语
dwsd 探讨
dwsf 探亲
dwsj 擦亮
dwsk 事实证明
dwsp 控诉
dwsq 探望
dwsr 攐
dwss 探访 打定主意
dwsz 摈弃
dwta 探病
dwtf 按摩
dwti 事实上
dwtr 拒之门外
dwtx 按序
dwue 捉迷藏
dwuj 投递员
dwul 擿
dwus 报道说
dwuu 抗逆性
dwvb 挖潜
dwvl 探测
dwwf 提案审查 提案审查委员会
dwwk 挖空心思
dwwl 探视
dwwq 探究
dwwr 操之过急
dwwu 护送
dwxb 招之即来
dwxd 探寻
dwxj 挥臂
dwy 挖 捾
dwya 护卫
dwyd 挖
dwye 推进改革
dwyf 打字机
dwyj 打字员
dwyo 探险 摈除
dwyy 打官司 搧
dwz 抋
dwzm 按
dwzo 热心人
dwzq 热心肠
dwzu 持之以恒
dwzv 挥发
dwzz 挖出
dx 据
dxa 揆
dxag 揆
dxb 扫
dxbi 择
dxbv 扫地
dxby 揵
dxbz 扭动
dxc 撋
dxcm 撖
dxcz 扫毒
dxd 捫
dxde 扫描
dxds 挦
dxdv 拯救
dxdx 抉择
dxe 扭
dxed 扭
dxef 扩展槽
dxeh 搌
dxei 扩展卡
dxej 据
dxek 扫黄 扫墓
dxeo 托马斯全旋
dxev 扫荡
dxfj 披露
dxfk 摊档 扫雷
dxfl 攔
dxg 抉
dxgd 抉
dxh 握
dxhb 扭转 握
dxhr 摡
dxi 披 掻
dxij 据点 摊点
dxiq 揟
dxir 据此
dxj 捃
dxjd 撏
dxjf 指桑骂槐
dxjm 扬眉吐气
dxjq 指鸡骂狗
dxjs 擗
dxju 撜
dxk 拯
dxka 择日 拯
dxkk 扭曲
dxkm 摨
dxku 择业
dxkv 捸
dxl 捅
dxld 捅
dxle 扫瞄
dxli 披巾
dxlp 摊贩
dxmd 握手
dxmf 揉
dxmh 扭矩 捤
dxmr 据称
dxn 摊
dxnd 扫射
dxng 择优
dxni 摊
dxnk 择偶
dxnn 摊牌
dxns 握住
dxo 拫
dxpk 摊销
dxpw 据悉
dxq 撊
dxr 擱
dxrj 擱
dxrr 抳
dxs 扠 択
dxsc 摊主
dxse 搱
dxsi 搔
dxsl 扫盲
dxsu 摊商
dxsv 据说
dxsz 摒弃
dxtu 搔痒
dxu 摒
dxue 摒
dxul 披着
dxuz 扩展总线接口
dxvc 扫清
dxvp 摊派
dxwl 扫视 掃
dxwq 披肩
dxws 扫房
dxwu 扭送
dxx 揉
dxxf 搡
dxxi 抒
dxxm 扫尾
dxxv 据预测
dxxw 扫帚
dxxx 掇
dxy 揤
dxya 摊子
dxyj 挶
dxyo 扫除
dxyq 撥
dxz 掘
dxzh 扭绕
dxzv 抒发
dxzz 掘
dy 把
dyae 报刊
dyap 护卫舰
dyax 排除万难
dyb 挪
dyba 报考 招考
dybi 招工
dybj 报喜
dybm 扩建工程
dybq 撱
dyby 挪
dybz 挪动
dycc 扬琴
dyck 招聘
dycr 报表
dyda 指导下
dydb 把持
dydg 挺拔
dydj 指导员
dydk 招揽
dydr 报批
dyds 热导率
dydw 抢险救灾
dydx 把握
dye 扟
dyed 扟
dyek 招募
dyeo 撰
dyer 报警
dyfa 把柄
dyfb 招标
dyfl 拔刀相助
dyfo 报检
dyfv 报酬
dygn 招架不住
dyh 抿
dyha 挪威
dyhd 抿
dyhk 报到
dyhm 招致
dyi 扡
dyia 把
dyim 拉巴特
dyj 招 拁
dyjb 热加工
dyjc 报国
dyji 摾
dyjm 招呼
dyjv 扬中
dykf 指导思想
dyko 报界
dyku 报业
dyla 扶弱助残
dylc 报账
dyli 招贴
dylk 掹
dylq 扬帆
dylv 挪用
dym 扔 扐
dymb 挺
dymc 招生
dymd 招手 把手
dyme 扬升
dymf 接力棒 挅
dymi 挻
dymj 报告
dymk 报复
dymo 报答
dyms 撰稿 扱
dymv 热力学
dymw 拉力赛 接力赛
dymz 搎
dyn 拂
dynd 拂
dyne 招供
dynf 招集
dynl 指导作用
dynn 招牌
dyno 报价
dynq 报仇
dyns 报信
dyo 扬
dyob 招待 招徕
dyoc 热力循环
dyod 扬
dyop 摎
dyow 招领 报馆
dypk 报销
dypo 招兵
dypt 排异反应
dyrd 招儿
dyrj 报名
dyry 报务
dys 扨
dysa 扬言
dysc 报请
dysj 报亭
dysk 报章
dyso 撰文
dysp 指导方针
dysu 挺立 招商
dyt 搦
dytg 把头
dyth 打架斗殴
dytv 报应
dytz 报废
dyug 把关 报关
dyus 指导性计划
dyuz 报数 招数
dyva 挺举
dyvn 扬州
dyvr 据了解
dywa 撰写
dywb 报社 挺进 招远
dywd 把守
dywk 报审
dywu 报道 报送
dywz 报案
dyx 报
dyxb 揵
dyxe 招展
dyxh 把戏
dyxo 报验
dyxs 报
dyy 撰
dyya 把子
dyyd 报导
dyyn 摺 擢
dyyq 搚
dyyt 搦 挧
dyyy 排除异己 拹
dyzj 打孔器
dyzm 招收
dyzo 报给
dyzr 报纸
dyzs 推陈出新
dyzu 招降纳叛
dz 拨
dzad 拟于
dzaz 接收天线
dzbb 拨款
dzbc 持续增长
dzbn 扎堆
dzby 抬起
dzbz 拨动
dzce 拨弄
dzco 提纲挈领
dzda 拨打 挨打
dzdf 拚搏
dzdn 提级提价
dzdo 拒绝执行
dzdr 拇指
dzds 提出批评
dzdz 拟拨
dze 拚
dzeb 拙著
dzeu 持续性
dzfb 抬杠
dzfx 扎根
dzg 掺
dzgf 撪
dzgj 事出有因
dzgk 掺砂
dzgm 势如破竹
dzgp 掺
dzgq 掾
dzgv 扎在
dzho 插线盒
dzhw 掉以轻心
dzid 持续上扬
dzii 攭
dzj 抬
dzja 拨号
dzjj 挨骂
dzjw 擂台赛
dzk 摷
dzkf 摷
dzks 提出申请
dzkv 掺水
dzl 掼
dzlo 掼 摜
dzm 挨
dzma 挨
dzml 拟制
dzms 拟稿
dzmw 持续稳定增长
dznd 拨付
dznf 批发价格
dznm 拟作
dzno 抬价
dznx 掺假
dzo 拟
dzod 拟
dzom 挨饿
dzop 摻
dzor 捘
dzou 撡
dzoz 擸
dzpn 捆绑销售
dzqf 掺杂
dzr 抁
dzrd 抁 摪
dzrk 拨备
dzrq 括约肌
dzrs 拶
dzry 撧
dzs 払
dzsa 拟订
dzsb 批发市场
dzsc 拟请
dzsj 扎襄 抬高
dzss 据统计 拟议
dztg 抬头
dzth 挨冻
dzul 挨着
dzun 接收单位
dzuv 拟为
dzv 扎
dzva 抬举
dzvj 抓纲治国
dzvn 批发价
dzvs 批发部
dzvv 扎
dzwd 拟定
dzwp 挨近
dzwq 拨冗
dzwt 扎实
dzxs 拨
dzy 拇
dzyv 拨了
dzz 紥
dzzb 提出来
dzzf 擽
dzzi 拙
dzzo 拨给
dzzx 持续发展
dzzy 拗 抝
dzzz 拨出
e 世 直
ea 廿
eaa 丗
eaaa 艹 卄 廾 卌 
eab 黊
eabb 黊
eabh 南亚地区
eabr 鷨
eabs 期末考试
eacl 苛责 觐 覲
eacp 斳
eacr 歏
eacy 勤 鄞
ead 芋
eadv 苛求
eae 茾
eaeb 華
eaed 若无其事 芉
eaek 荆 荊
eaem 载歌载舞 莺歌燕舞 茉莉
eaeo 荆芥
eaf 茉
eafl 荆棘
eag 芜
eagb 十恶不赦
eagl 十万大山
eagr 芜
eagu 菾
eai 艼
eaid 芐
eaij 黇
eaj 苛
eajc 菫 堇
eajk 葍
eajl 蒚
eajt 十一国庆节
eaju 荳
eak 昔
eaka 薤
eakf 苹果
eakk 剒
eako 黄 丧于非命 黃 莄
eakp 斮
eakr 鹊 鵲
eakw 逪
eakx 皵
eale 落下帷幕
eali 芾
ealo 苪
ealr 虉
ealw 慸 遰
ealy 勚 勩
eanc 葬身
eanw 戁
eao 巷 共
eaob 蕐
eaof 輂
eaog 颟 顢
eaoi 蛬
eaom 拲
eaon 難
eaoo 薾 臡
eaor 歎 鷬 虁 蘷
eaou 恭 荒无人烟
eaox 艱
eaoy 巷
eaq 十一月
eaqm 散
eaqn 十一月份
ear 葬
earb 塟
eare 葬
eark 茢
earo 薞 薚
earr 鷰
earu 燕
earz 嬊
eas 黈
easc 黈
easx 黅
easz 苛刻
eat 斢
eate 斢
eatg 芋头
eatk 若干问题
eatl 荆门
eau 苹
eaua 苹
eauj 囏
eauo 炗
eauy 酀
eavb 花天酒地
eave 芜湖
eavi 十一点
eavn 荆州
eavq 十一月
eaw 帯
eawl 帯 帶
eawr 黆
eawu 葬送
eawz 葬礼
eax 萋
eaxc 十一届三中全会
eaxi 萐
eaxz 萋
eay 懃
eayw 懃
