name=拼音
key=abcdefghijklmnopqrstuvwxyz
len=63
wildcard=?
pinyin=1
split='
hint=0
update=1
user=pinyin.usr
assist=mb/yong.txt 2
fanpan 反叛
fanpiao 饭票
fanpin 返聘
fanpu 反扑
fanpuguizhen 反璞归真
fanqi 泛起
fanqian 饭前
fanqidaoerweizhi 反其道而为之
fanqidaoerxing 反其道而行
fanqidaoerxingzhi 反其道而行之
fanqie 番茄 反切
fanqiejiang 番茄酱
fanqing 返青
fanqingxiao 反倾销
fanrao 烦扰
fanren 凡人 犯人 烦人
fanrenlei 反人类
fanrong 繁荣
fanshanyueling 翻山越岭
fanshe 反射
fanshen 翻身
fanshentou 反渗透
fanshenzhang 翻身仗
fanshi 凡是 凡事
fanshou 反手
fanshu 番薯
fansi 反思 贩私
fansiliao 烦死了
fansuo 繁琐
fantan 反弹
fantang 饭堂
fanteng 翻腾
fanti 繁体
fantian 翻天
fantianfudi 翻天覆地
fantiban 繁体版
fanting 饭厅
fantizi 繁体字
fantong 饭桶
fanu 发怒
fanwan 饭碗
fanwei 范围
fanwen 反问 范文
fanwenrujie 繁文缛节
fanxia 犯下
fanxiang 反响 反向 返乡
fanxiangdaogui 翻箱倒柜
fanxiao 返校 返销
fanxin 翻新 烦心
fanxing 反省 繁星
fanxinshi 烦心事
fanxiu 翻修
fanxu 凡需
fanyan 繁衍
fanye 翻页
fanyi 翻译 犯疑
fanyici 反义词
fanyifan 翻一番
fanyin 翻印
fanying 反映 反应
fanyong 翻涌
fanyou 凡有 凡由
fanyu 繁育
fanyue 翻阅 翻越
fanyun 贩运
fanyunfuyu 翻云覆雨
fanza 繁杂
fanzai 凡在
fanzao 烦躁
fanzhan 反战
fanzhe 泛着 翻着
fanzheng 反正 反证
fanzhengfu 反政府
fanzhi 反之 繁殖 泛指
fanzhichang 繁殖场
fanzhidi 繁殖地
fanzhong 繁重
fanzhongyan 范仲淹
fanzhou 泛舟
fanzhuan 翻转
fanzhuang 饭庄
fanzhuo 饭桌
fanzi 贩子
fanzui 犯罪
fanzuoyong 反作用
fapai 发牌
fapang 发胖
fapei 发配
fapiao 发票
faqi 发起
faqing 发情
faqiu 罚球 发球
faqiuju 发球局
fare 发热
faren 法人
farenshensi 发人深思
farenshenxing 发人深省
faruan 发软
fasan 发散
fashankechen 乏善可陈
fashao 发烧
fashaoyou 发烧友
fashe 发射
fasheng 发生
fashengzai 发生在
fashi 发誓 法师 发式 法式
fashou 发售
fashu 法术
fasong 发送
fasuan 发酸
fatang 发烫
fatie 发帖
fating 法庭
fawang 法网 发往
fawei 乏味
fawen 发问 发文
faxia 罚下
faxian 发现
faxiangdi 发祥地
faxiao 发笑
faxie 发泄
faxin 发信
faxing 发行 发型
faxingliang 发行量
faxingren 发行人
faxisi 法西斯
faya 发芽
fayan 发言 发炎
fayang 发扬
fayangguangda 发扬光大
fayanquan 发言权
fayanren 发言人
fayi 法医
fayin 发音
fayu 发育 法语
fayuan 法院 发源
fayuandi 发源地
fayun 发晕
faze 法则
fazhan 发展
fazhanzhongguojia 发展中国家
fazheng 发证
fazhi 法制 发至 法治 阀值
fazi 发自 法子 发紫
fazuo 发作
fei 非 飞 肥 费 废 沸 菲 肺 匪 诽 腓 扉 吠 啡 霏 绯 妃 斐 翡 蜚 痱 淝 悱 鲱 篚 芾 狒 镄 榧 砩 祓 蜰
feibang 诽谤
feiben 飞奔
feibu 肺部
feichai 肥差 废柴
feichang 非常
feiche 飞车
feichi 飞驰
feichu 废除 飞出 废黜
feichuan 飞船
feichufangyao 非处方药
feicijibi 非此即彼
feicui 翡翠
feida 肥大 飞达
feidan 非但
feidei 非得
feidiao 废掉
feidie 飞碟
feiepuhuo 飞蛾扑火
feifa 非法
feifan 非凡
feifei 菲菲 霏霏 狒狒
feifeiyangyang 沸沸扬扬
feifen 非分
feifenzhixiang 非分之想
feifu 肺腑 飞赴
feige 飞鸽
feiguo 飞过
feihong 绯红
feihua 废话
feihuangtengda 飞黄腾达
feihui 飞回
feiji 飞机
feijian 飞溅 飞剑
feijie 费解
feijin 费劲 飞进 费尽
feijipiao 飞机票
feijiu 废旧
feikuai 飞快
feilai 飞来
feile 飞了 废了
feili 费力 非礼 肥力
feiliao 肥料
feiliwushi 非礼勿视
feilong 飞龙
feilvbin 菲律宾
feilvfeima 非驴非马
feinan 非难
feiniao 飞鸟
feipang 肥胖
feipin 废品 妃嫔
feiqi 废弃 废气
feiqinwangshi 废寝忘食
feiqinzoushou 飞禽走兽
feiqisuochang 非其所长
feiqiwu 废弃物
feiqu 飞去
feique 肥缺
feiran 斐然
feiren 非人 飞人
feirou 肥肉
feiru 飞入
feishang 飞上
feishangzhitoubianfenghuang 飞上枝头变凤凰
feishen 飞身 费神
feisheng 飞升
feishi 费事
feishui 废水 沸水
feishuizhizhan 淝水之战
feisu 飞速
feiteng 沸腾
feitian 飞天
feitie 废铁
feitongfanxiang 非同凡响
feitongxiaoke 非同小可
feitongxunchang 非同寻常
feitongyiban 非同一般
feitoudaer 肥头大耳
feitu 匪徒
feiwang 飞往
feiwen 绯闻
feiwo 肥沃
feiwu 废物 飞舞
feixiang 飞翔 飞向
feixin 费心
feixing 飞行
feixingyuan 飞行员
feixu 废墟
feixue 飞雪
feiyan 肺炎
feiyang 飞扬 肥羊
feiyangbahu 飞扬跋扈
feiyanzoubi 飞檐走壁
feiyao 非要
feiye 扉页
feiyi 非议
feiyiban 非一般
feiyisuosi 匪夷所思
feiyong 费用
feiyue 飞跃 飞越
feizao 肥皂
feizaopao 肥皂泡
feizhenzouxian 飞针走线
feizhi 废止 废置
feizhou 非洲
feizi 妃子
feizou 飞走
fen 分 份 奋 粉 愤 纷 氛 芬 坟 焚 粪 忿 吩 汾 棼 鼢 玢 酚 偾 瀵 鲼 棻
fenbei 分贝
fenbenglixi 分崩离析
fenbi 粉笔
fenbian 分辨 粪便
fenbianlv 分辨率
fenbie 分别
fenbiewei 分别为
fenbu 分布 分部 分步
fenbuchu 分不出
fenbudai 分布带
fenbugushen 奋不顾身
fenbukai 分不开
fenbuqing 分不清
fenbushi 分布式
fence 分册
fenceng 分层
fenchang 分厂
fenchen 粉尘
fencheng 分成
fenchu 分出
fenci 分词
fencun 分寸
fendan 分担
fendao 分到
fendaoyangbiao 分道扬镳
fendeng 分等
fendian 分店
fendiaoyuzhuo 粉雕玉琢
fendou 奋斗
fenduan 分段
fendui 分队
fene 份额
fenfa 分发 奋发
fenfan 纷繁
fenfang 芬芳 分房
fenfatuqiang 奋发图强
fenfei 纷飞
fenfen 纷纷 愤愤
fenfenbuping 愤愤不平
fenfenhehe 分分合合
fenfenyangyang 纷纷扬扬
fenfu 吩咐 分赴
feng 风 封 疯 凤 丰 峰 逢 奉 缝 锋 讽 冯 蜂 枫 烽 俸 砜 唪 酆 葑 沣 沨
fengbao 风暴
fengbei 丰碑
fengbi 封闭
fengbo 风波
fengbu 缝补
fengcai 风采 丰采
fengcanlusu 风餐露宿
fengchan 丰产
fengchangzuoxi 逢场作戏
fengchao 风潮
fengche 风车
fengchen 风尘
fengcheng 奉承
fengchenpupu 风尘仆仆
fengchidianche 风驰电掣
fengchui 风吹
fengchuicaodong 风吹草动
fengchuiyuda 风吹雨打
fengci 讽刺
fengcun 封存
fengda 风大
fengdi 封底 风笛 逢低 封地
fengdian 疯癫 风电
fengding 封顶 峰顶
fengdong 封冻
fengdu 风度
fenge 分割 分隔
fengei 分给
fengfan 风范 风帆
fengfanchangcun 风范长存
fengfenghuohuo 风风火火
fengfengyuyu 风风雨雨
fengfu 丰富
fengfuduocai 丰富多彩
fenggai 封盖
fenggan 风干
fenggao 奉告
fengge 风格
fenggong 奉公
fenggongweiji 丰功伟绩
fenggou 疯狗
fenggu 风骨
fengguang 风光
fengguanxuyuan 封官许愿
fenghan 风寒
fenghao 封号
fenghe 缝合
fengherili 风和日丽
fenghou 丰厚
fenghua 风华 风化
fenghuan 奉还
fenghuang 凤凰
fenghuaxueyue 风花雪月
fenghuazhengmao 风华正茂
fenghui 峰会
fenghuiluzhuan 峰回路转
fenghuo 烽火
fengji 风纪
fengjian 封建
fengjianzhuyi 封建主义
fengjing 风景
fengjingdian 风景点
fengjingqu 风景区
fengjingxian 风景线
fengjuancanyun 风卷残云
fengjuanyunshu 风卷云舒
fengkoulangjian 风口浪尖
fengkuang 疯狂
fenglang 风浪
fengle 疯了
fenglei 风雷
fengli 风力 锋利
fenglianghua 风凉话
fenglilaiyuliqu 风里来雨里去
fengling 风铃
fengliu 风流
fengliurenwu 风流人物
fenglu 俸禄
fengluan 峰峦
fengman 丰满
fengmang 锋芒
fengmaniubuxiangji 风马牛不相及
fengmao 风貌
fengmaolinjiao 凤毛麟角
fengmei 丰美
fengmi 蜂蜜 风靡
fengmian 封面
fengming 奉命
fengneng 风能
fengnian 丰年
fengnianguojie 逢年过节
fengong 分工
fengongsi 分公司
fengpei 奉陪
fengpi 封皮
fengpinglangjing 风平浪静
fengqi 风气
fengqin 风琴
fengqing 风情
fengqingwanzhong 风情万种
fengqiyinzi 封妻荫子
fengqiyunyong 风起云涌
fengqu 风趣
fengquan 奉劝
fengrao 丰饶
fengren 缝纫
fengsao 风骚
fengsha 封杀 风沙
fengshan 风扇
fengshang 风尚
fengshen 风神 封神
fengsheng 风声 丰盛
fengshengheli 风生鹤唳
fengshengshuiqi 风生水起
fengshenjunlang 丰神俊朗
fengshenyanyi 封神演义
fengshi 风湿
fengshou 丰收
fengshu 枫树
fengshuang 风霜
fengshui 风水
fengshuilunliuzhuan 风水轮流转
fengshuo 丰硕
fengsong 奉送
fengsu 风俗 风速
fengsuo 封锁
fengtai 凤台
fengtaiqu 丰台区
fengtan 风瘫
fengtian 丰田
fengtiao 封条
fengtiaoyushun 风调雨顺
fengtou 风头
fengtu 风土
fenguan 分管
fengwei 风味
fengwen 风闻
fengxi 缝隙
fengxian 风险 奉献
fengxiang 风向
fengxiangbiao 风向标
fengxianqu 奉贤区
fengxing 奉行 风行
fengxingyishi 风行一时
fengxiong 丰胸
fengxionghuaji 逢凶化吉
fengxue 风雪
fengya 风雅
fengyanfengyu 风言风语
fengye 枫叶
fengyi 风衣
fengyin 封印
fengying 丰盈 逢迎
fengyizushi 丰衣足食
fengyong 蜂拥
fengyongerru 蜂拥而入
fengyu 风雨 讽喻 丰腴
fengyue 风月
fengyujiaojia 风雨交加
fengyun 风云 风韵
fengyunbianhuan 风云变幻
fengyunjihui 风云际会
fengyunrenwu 风云人物
fengyupiaoyao 风雨飘摇
fengyuruhui 风雨如晦
fengyurupan 风雨如磐
fengyutongzhou 风雨同舟
fengyuwuzu 风雨无阻
fengzai 风灾
fengzheng 风筝
fengzhi 峰值
fengzhuang 封装
fengzi 疯子 丰姿
fengzichuoyue 风姿绰约
fenhang 分行
fenhao 分号 分毫
fenhen 愤恨
fenhong 粉红 分红
fenhongri 分红日
fenhongse 粉红色
fenhua 分化
fenhui 分会 焚毁
fenhuo 分获
fenji 分级
fenjia 分家
fenjian 分拣
fenjie 分解 分界
fenjiexian 分界线
fenjin 奋进
fenjiu 汾酒
fenju 分局 分居
fenkai 分开 愤慨
fenkaile 分开了
fenke 分科
fenlan 芬兰
fenlei 分类
fenli 分离 奋力 分立
fenliang 分量
fenlie 分裂
fenlieshi 分列式
fenliu 分流
fenmen 愤懑
fenmenbielei 分门别类
fenmi 分泌 分米
fenmian 分娩
fenmiao 分秒
fenming 分明
fenmo 粉末
fenmodengchang 粉墨登场
fenmu 坟墓 分母
fennei 分内
fennen 粉嫩
fennu 愤怒
fenpai 分派
fenpei 分配
fenpi 分批
fenpian 分片
fenqi 分期 分歧 奋起
fenqian 分钱 坟前
fenqing 分清
fenqingshifei 分清是非
fenqinzhuhe 焚琴煮鹤
fenqizhizhui 奋起直追
fenqu 分区
fenquan 分权
fenran 愤然
fenrao 纷扰
fensan 分散
fense 粉色
fenshao 焚烧
fenshaolu 焚烧炉
fenshe 分设 分社
fenshen 分身 分神
fenshenfashu 分身乏术
fenshensuigu 粉身碎骨
fenshi 粉饰 分式
fenshijisu 愤世嫉俗
fenshou 分手
fenshu 分数 分属 份数
fenshua 粉刷
fenshuiling 分水岭
fenshuo 分说
fenshuxian 分数线
fensi 粉丝
fensui 粉碎
fentan 分摊
fentingkangli 分庭抗礼
fentou 分头
fentu 粪土
fenwai 分外
fenwei 分为 氛围
fenwen 分文
fenwenbuqu 分文不取
fenwenbuzhi 分文不值
fenxi 分析
fenxiang 分享
fenxiao 分校 分晓
fenxin 分心
fenxishi 分析师
fenxiyi 分析仪
fenye 分页 分业
fenyibeigeng 分一杯羹
fenyong 奋勇
fenyongdangxian 奋勇当先
fenyou 分忧
fenyoujiechou 分忧解愁
fenyuan 分院
fenyun 纷纭
fenza 纷杂
fenzai 分在
fenzang 分赃
fenzao 分灶
fenzhan 奋战 分站
fenzhansai 分站赛
fenzheng 纷争
fenzhi 分支
fenzhitalai 纷至沓来
fenzhiyi 分之一
fenzhong 分钟
fenzi 分子
fenzu 分组
fenzuo 分作
fo 佛 仏 仸 坲 梻
fodao 佛道
fofa 佛法
fojia 佛家
fojiao 佛教
fojing 佛经
fomen 佛门
foshan 佛山
foshi 佛事
fotuo 佛陀
fou 否 缶
fouding 否定
foudingzhifouding 否定之否定
foujue 否决
foujuequan 否决权
fouren 否认
fouze 否则
foxiang 佛像
foxing 佛性
foxue 佛学
foye 佛爷
fozu 佛祖
fu 服 复 夫 府 负 副 福 父 富 付 妇 附 幅 伏 符 赴 扶 浮 腐 肤 抚 覆 腹 赋 弗 傅 辅 拂 甫 俯 斧 缚 咐 腑 袱 俘 佛 敷 阜 芙 釜 孚 脯 匐 孵 辐 涪 讣 氟 桴 蜉 芾 苻 茯 莩 菔 幞 怫 拊 滏 黼 艴 麸 绂 绋 趺 祓 砩 黻 罘 蚨 跗 蝠 呋 凫 郛 稃 驸 赙 馥 蝮 鲋 鳆 呒 彳 砆 莆 阝 鞴 茀
fuai 父爱 抚爱
fuan 伏案 伏安
fuanna 富安娜
fubai 腐败
fubei 父辈
fubeishoudi 腹背受敌
fuben 副本
fubi 伏笔 复辟
fubiao 附表
fubing 伏兵
fubu 腹部
fubuzhang 副部长
fucai 福彩
fucha 复查
fuchangfusui 夫唱妇随
fuchen 浮沉
fuchi 扶持
fuchong 俯冲
fuchou 复仇
fuchu 付出 复出 浮出
fuchunjiang 富春江
fuci 副词
fucong 服从
fudai 附带
fudan 负担 复旦
fudanguozhong 负担过重
fudao 辅导
fudaoban 辅导班
fudaoyuan 辅导员
fudaozhan 辅导站
fudi 腹地 福地 府邸
fudiao 浮雕
fudichouxin 釜底抽薪
fudong 浮动
fudu 幅度
fuer 附耳
fuermosi 福尔摩斯
fuertai 伏尔泰
fufa 复发 伏法
fufang 复方 负方
fufei 付费 腹诽
fufu 夫妇
fufuheqiu 夫复何求
fugai 覆盖
fugailv 覆盖率
fugaimian 覆盖面
fugang 赴港
fugangao 赴港澳
fugao 腹稿 讣告
fugei 付给
fugu 复古
fuguan 副官
fuguanglueying 浮光掠影
fugugou 腹股沟
fugui 富贵 复归
fuguo 富国 复国
fuhan 富含 复函
fuhao 符号 富豪
fuhe 符合 复合 附和 负荷 复核
fuheban 复合板
fuhefei 复合肥
fuhewu 复合物
fuhexing 复合型
fuhou 附后
fuhua 孵化 腐化 浮华
fuhuang 父皇
fuhuaqi 孵化器
fuhui 赴会 附会
fuhun 复婚
fuhuo 复活 俘获
fuhuojie 复活节
fuji 伏击 扶乩
fujia 附加
fujian 附件 福建
fujiansheng 福建省
fujiaoshou 副教授
fujiayifang 富甲一方
fujiazhi 附加值
fujin 附近
fujinzhuixi 抚今追昔
fujiu 负疚
fujun 夫君
fujuzhang 副局长
fukan 俯瞰 副刊
fukang 富康
fukangan 福康安
fuke 妇科 复课
fukediguo 富可敌国
fukua 浮夸
fukuafeng 浮夸风
fukuan 付款
fulan 腐烂
fulao 父老
fulaoxiangqin 父老乡亲
fulaoxiongdi 父老兄弟
fule 服了
fuli 福利 浮力 复利
fulian 妇联
fuliao 辅料
fulifei 福利费
fulitanghuang 富丽堂皇
fuliyuan 福利院
fulizi 负离子
fulu 附录 俘虏
fuluoyide 弗洛伊德
fuma 驸马
fumei 赴美
fumian 负面 拂面
fumo 抚摸 覆没
fumu 父母
fumuguan 父母官
fumuqin 父母亲
funv 妇女 父女
fupin 扶贫
fuping 抚平 浮萍
fupo 富婆
fuqi 夫妻 福气 服气 浮起 负气
fuqian 付钱 肤浅
fuqiang 富强 腹腔
fuqin 父亲
fuqing 付清
furao 富饶
furen 夫人 妇人 富人 赴任
furenzhiren 妇人之仁
furong 芙蓉
furu 妇孺
furuan 服软
furujiezhi 妇孺皆知
fusai 复赛
fusang 扶桑
fuse 肤色
fushang 富商 负伤
fushe 辐射
fushen 复审 附身
fushengji 副省级
fushengzhang 副省长
fushi 服饰 腐蚀 副食 俯视 服侍 复式
fushikang 富士康
fushishan 富士山
fushitong 富士通
fushixing 腐蚀性
fushizhang 副市长
fushou 扶手 副手 俯首
fushu 附属 复述 服输 富庶 复数 负数
fushui 赋税
fushuji 副书记
fushun 抚顺
fusong 附送
fusu 复苏
futai 富态
futangdaohuo 赴汤蹈火
fute 福特 伏特
futejia 伏特加
futi 附体 扶梯
futian 伏天
futianqu 福田区
futie 服帖
futong 腹痛
futou 斧头
futu 浮屠
fuwei 抚慰 复位
fuweijikun 扶危济困
fuweiyuanzhang 副委员长
fuweng 富翁
fuwocheng 俯卧撑
fuwu 服务
fuwudui 服务队
fuwufei 服务费
fuwuqi 服务器
fuwuqiban 服务器版
fuwushuangzhi 福无双至
fuwutaidu 服务态度
fuwuxing 服务型
fuwuye 服务业
fuwuyuan 服务员
fuwuzhan 服务站
fuxi 复习 付息 父系 伏羲
fuxian 浮现 赋闲
fuxianchu 浮现出
fuxiang 浮想
fuxianglianpian 浮想联翩
fuxianzhang 副县长
fuxiao 拂晓 附小
fuxiaozhang 副校长
fuxie 腹泻
fuxin 负心 复信
fuxing 复兴 服刑 福星 复姓
fuxinggaozhao 福星高照
fuxinhan 负心汉
fuxinren 负心人
fuxiong 父兄
fuxiu 腐朽
fuxu 抚恤 夫婿
fuxue 复学
fuyan 敷衍 赴宴 附言
fuyang 抚养
fuyao 服药
fuyaozhishang 扶摇直上
fuye 副业
fuyi 复议 服役
fuyidabai 浮一大白
fuyin 复印 福音 辅音 付印
fuyinjian 复印件
fuyong 服用 附庸
fuyou 富有 妇幼 负有
fuyu 赋予 富裕 富于 负于 富余 抚育
fuyuan 复原 复员 幅员
fuyuanliaokuo 幅员辽阔
fuyue 赴约
fuyule 赋予了
fuyun 浮云
fuyuwankang 负隅顽抗
fuza 复杂
fuzai 负载
fuzang 腑脏
fuzao 浮躁
fuzaxing 复杂性
fuze 负责
fuzeren 负责人
fuzezhi 负责制
fuzhai 负债
fuzhe 扶着 覆辙 附着 抚着
fuzhengquxie 扶正祛邪
fuzhi 复制 扶植 副职 赋值 福祉
fuzhidongliu 付之东流
fuzhixinling 福至心灵
fuzhiyiju 付之一炬
fuzhong 附中 负重 浮肿
fuzhou 福州
fuzhoushi 福州市
fuzhu 辅助 付诸 扶助 扶住
fuzhuma 辅助码
fuzhuang 服装
fuzhuangdian 服装店
fuzhuo 附着
fuzhuren 副主任
fuzhuxi 副主席
fuzi 父子 斧子 夫子
fuzimiao 夫子庙
fuzongjingli 副总经理
fuzongli 副总理
fuzongtong 副总统
fuzu 富足
fuzui 服罪
fuzuo 辅佐
fuzuoyong 副作用
fuzuzhang 副组长
g 个 给 过 更 该
ga 咖 尬 嘎 夹 噶 轧 伽 旮 钆 尕 尜 呷
gaga 嘎嘎
gai 该 改 概 钙 盖 丐 赅 溉 垓 陔 戤 胲 芥
gaiban 改版
gaibian 改变 改编
gaibugai 该不该 改不改
gaichaohuandai 改朝换代
gaicheng 改成
gaici 盖茨
gaidanghezui 该当何罪
gaidao 改道
gaide 改的
gaidiao 改掉
gaidong 改动
gaifangzi 盖房子
gaige 改革
gaiguan 改观
gaiguanlunding 盖棺论定
gaiguo 改过 该国
gaihang 改行
gaihao 改好
gaihuan 改换
gaihui 改回 改悔
gaijia 改嫁
gaijian 改建
gaijin 改进
gaijinban 改进版
gaijuan 改卷
gaikou 改口
gaikuang 概况
gaikuo 概括
gailan 概览
gaile 改了
gailiang 改良
gailou 盖楼
gailue 概略
gailun 概论
gailv 概率
gaimao 盖帽 概貌
gaiming 改名
gaimonengwai 概莫能外
gainian 概念
gainianhua 概念化
gaiqiyizhi 改旗易帜
gaiqu 该去 该区 改去 该曲
gaishan 改善
gaishi 盖世
gaishu 概述 该书
gaisi 该死
gaisuan 概算
gaitianhuandi 改天换地
gaitouhuanmian 改头换面
gaiwei 改为
gaixiangengzhang 改弦更张
gaixianyizhe 改弦易辙
gaixiao 该校 该笑 改小
gaixie 改写
gaixieguizheng 改邪归正
gaiyao 概要
gaiyong 改用
gaiyou 该有 改由
gaiyue 该月
gaizao 改造
gaizhan 该站
gaizhang 盖章
gaizheng 改正
gaizhi 改制
gaizhu 盖住
gaizhuang 改装
gaizu 改组
gaizuo 改作
gala 旮旯
gali 咖哩
gan 干 感 敢 肝 赶 甘 杆 尴 竿 赣 秆 擀 坩 苷 柑 泔 矸 澉 疳 橄 酐 淦 绀 旰 乾 玕
ganai 肝癌
ganaiganhen 敢爱敢恨
ganbaba 干巴巴
ganbaixiafeng 甘拜下风
ganbei 干杯
ganbie 干瘪
ganbing 肝病 干冰
ganbu 干部
ganbugan 敢不敢 干不干
ganbushang 赶不上
gancao 甘草 干草
gancaocisuan 甘草次酸
gancaosuan 甘草酸
ganchao 赶超
ganchu 感触 赶出
gancui 干脆
ganda 敢打
gandan 肝胆
gandang 甘当
gandanxiangzhao 肝胆相照
gandao 感到 赶到
gande 干得
gandi 甘地
gandian 干点
gandiao 干掉
gandong 感动
ganen 感恩
ganendaide 感恩戴德
ganfu 赶赴
gang 刚 港 钢 岗 纲 缸 扛 杠 冈 肛 罡 戆 筻 颃
ganga 尴尬
gangan 敢干
ganganjingjing 干干净净
gangao 港澳
gangaotai 港澳台
gangban 钢板
gangbi 钢笔 港币
gangbiya 冈比亚
gangcai 刚才 钢材
gangcha 钢叉
gangchang 钢厂
gangcheng 港城
gangdai 钢带
gangdao 刚到
gangding 钢锭
gangdu 港督
gange 干戈
gangfu 港府
ganggan 杠杆
ganggang 刚刚
ganggu 港股
gangguan 钢管
ganggui 钢轨
gangguo 刚过 刚果
ganghao 刚好
gangji 纲纪
gangjian 刚健
gangjie 港姐
gangjin 钢筋
gangjing 刚劲
gangjumuzhang 纲举目张
gangkou 港口
gangkui 钢盔
ganglai 刚来
ganglie 刚烈
gangling 纲领 杠铃
ganglingxing 纲领性
ganglou 岗楼
gangluo 刚落
gangmen 肛门
gangmeng 刚猛
gangmu 纲目
gangqi 罡气
gangqiang 刚强
gangqiao 刚巧
gangqin 钢琴
gangqinjia 钢琴家
gangqu 刚去 港区
gangren 港人
gangrou 刚柔
gangshang 刚上 港商
gangshao 岗哨
gangsi 钢丝
gangsuo 钢索
gangtai 港台
gangtie 钢铁
gangting 岗亭
ganguan 感官 敢管
ganguang 感光
ganguolai 赶过来
gangwan 港湾
gangwei 岗位
gangwu 港务
gangxiang 刚想
gangxing 刚性
gangyao 刚要 纲要
gangyi 刚毅
gangyin 钢印
gangyuan 港元
gangzhengbue 刚正不阿
gangzhi 刚直
gangzi 港资
ganhan 干旱
ganhao 干好
ganhe 干涸
ganhua 感化
ganhui 赶回
ganhuo 干活
ganji 感激 赶集
ganjiang 干将
ganjin 赶紧 干劲
ganjinchongtian 干劲冲天
ganjing 干净 干警
ganjingliluo 干净利落
ganjinshajue 赶尽杀绝
ganjitiling 感激涕零
ganju 柑橘
ganjue 感觉
gankai 感慨
gankao 赶考
ganku 干枯 甘苦
gankuai 赶快
gankui 感喟
ganlai 赶来
ganlan 橄榄
ganlanqiu 橄榄球
ganlanshu 橄榄树
ganlanyou 橄榄油
ganlanzhi 橄榄枝
ganlian 干练
ganliang 干粮
ganlie 干裂
ganlin 甘霖
ganlu 赶路 甘露
ganma 干嘛
ganmang 赶忙
ganmao 感冒
ganmei 甘美
gannubuganyan 敢怒不敢言
gannuerbuganyan 敢怒而不敢言
ganou 干呕
ganpao 赶跑
ganqiao 赶巧
ganqing 感情 敢情
ganquan 甘泉
ganqun 干群
ganran 感染
ganranli 感染力
ganrao 干扰
ganre 感热
ganren 感人
ganrenfeifu 感人肺腑
ganse 干涩
gansha 干啥
ganshang 赶上 感伤
ganshangle 赶上了
ganshe 干涉
ganshenme 干什么
ganshi 干事
ganshimao 赶时髦
ganshou 感受 干瘦
ganshui 泔水
gansidui 敢死队
gansu 甘肃
gansusheng 甘肃省
gantan 感叹
gantanhao 感叹号
gantian 甘甜
gantiandongdi 感天动地
gantongshenshou 感同身受
ganwang 赶往
ganwei 敢为
ganweirenxian 敢为人先
ganweitianxiaxian 敢为天下先
ganwen 敢问
ganwu 感悟
ganxi 干洗
ganxian 干线
ganxiang 感想 敢想
ganxiao 干笑
ganxibao 干细胞
ganxie 感谢
ganxiexin 感谢信
ganxin 甘心
ganxing 感性
ganxingqu 感兴趣
ganxingrenshi 感性认识
ganyan 感言 肝炎
ganyazishangjia 赶鸭子上架
ganyelu 赶夜路
ganyin 赶印
ganying 感应
ganyou 甘油
ganyu 干预 敢于 甘于
ganyuan 甘愿
ganzang 肝脏
ganzao 干燥
ganzhang 干仗
ganzhao 感召
ganzhaoli 感召力
ganzhe 甘蔗
ganzhi 感知 赶制
ganzhiruyi 甘之如饴
ganzhiruoyi 甘之若饴
ganzhou 赣州
ganzhoushi 赣州市
ganzhua 敢抓
ganzi 杆子
ganzou 赶走
ganzuo 敢做
ganzuogandang 敢作敢当
gao 高 告 搞 糕 稿 膏 皋 羔 睾 槁 藁 缟 篙 镐 诰 槔 杲 郜 锆 蒿
gaoai 高矮
gaoang 高昂
gaoao 高傲
gaobai 告白
gaobei 高倍
gaobiaozhun 高标准
gaobie 告别
gaobuhao 搞不好
gaobukepan 高不可攀
gaocaisheng 高才生
gaoceng 高层
gaocengci 高层次
gaochan 高产
gaochang 高唱 高昌
gaochao 高潮 高超
gaocheng 搞成
gaochou 稿酬
gaochu 高出 高处
gaochubushenghan 高处不胜寒
gaochui 告吹
gaoci 告辞
gaocuo 搞错
gaoda 高达 高大
gaodanbai 高蛋白
gaodang 高档
gaodangshangpin 高档商品
gaode 搞得
gaodeng 高等
gaodengyuanxiao 高等院校
gaodi 高低 高地
gaodian 搞点 糕点
gaodiao 高调
gaoding 搞定
gaodu 高度
gaoduan 高端
gaoduzhongshi 高度重视
gaoe 高额
gaoer 高二
gaoerfu 高尔夫
gaoerfuqiu 高尔夫球
gaoerji 高尔基
gaofa 告发
gaofaqi 高发期
gaofaqu 高发区
gaofei 稿费
gaofen 高分
gaofeng 高峰
gaofengliangjie 高风亮节
gaofengqi 高峰期
gaogao 高高
gaogaoxingxing 高高兴兴
gaogaozaishang 高高在上
gaoge 高歌
gaogen 高跟
gaogenxie 高跟鞋
gaogezi 高个子
gaogong 高工
gaogu 高估
gaoguai 搞怪
gaoguan 高管 高官
gaoguanhoulu 高官厚禄
gaogui 高贵 搞鬼
gaoguo 高过
gaohan 高喊
gaohao 搞好
gaohu 高呼
gaohuo 搞活
gaoji 高级 告急
gaojia 高价
gaojian 稿件 高见
gaojie 告诫 告捷 高阶
gaojing 告警
gaojingjian 高精尖
gaojishu 高技术
gaojishuchanye 高技术产业
gaoju 高举
gaokang 高亢
gaokao 高考
gaokeji 高科技
gaokong 高空
gaokua 搞垮
gaolaohuanxiang 告老还乡
gaolaozhuang 高老庄
gaoliang 高粱
gaolidai 高利贷
gaoling 高龄
gaolou 高楼
gaolu 高炉
